WEEK,SALE_PERIOD,TOTAL_$,SalesCustomerTypeName,PRODUCT_CATEGORY,UNIT_OF_MEASURE,TOTAL_UNITS
CURRENT WEEK,2022-12-18,11498.43,Consumer,Infused (non-edible),Each,230
CURRENT WEEK,2022-12-17,15858.67,Consumer,Shake/Trim,Grams,353
CURRENT WEEK,2022-12-18,10987.69,Consumer,Concentrate,Grams,254
CURRENT WEEK,2018-11-20 -2022-12-11,67020.75,Consumer,Raw Pre-Rolls,Milligrams,4069
CURRENT WEEK,2022-12-18,210043.94,Consumer,Concentrate (Each),Each,4375
CURRENT WEEK,2022-12-17,2865.23,Consumer,Kief,Grams,130
CURRENT WEEK,2022-12-13,24674.97,Consumer,Infused Beverage,Each,1561
CURRENT WEEK,2022-12-18,10993.18,Consumer,Shake/Trim,Grams,253
CURRENT WEEK,2022-12-17,15402.97,Consumer,Concentrate,Grams,365
CURRENT WEEK,2022-12-17,883860.24,Consumer,Infused (edible),Each,33048
CURRENT WEEK,2022-12-14,823.95,Consumer,Concentrate (Bulk),Grams,26
CURRENT WEEK,2018-11-20 -2022-12-11,1356,Consumer,Concentrate,Ounces,21
CURRENT WEEK,2022-12-15,455.01,Consumer,Immature Plants,Each,13
CURRENT WEEK,2018-11-20 -2022-12-11,4017349.39,Consumer,Kief,Grams,133725
CURRENT WEEK,2022-12-16,163.5,Consumer,Suppository,Each,3
CURRENT WEEK,2022-12-18,3374.92,Consumer,Kief,Grams,141
CURRENT WEEK,2022-12-13,179218.97,Consumer,Concentrate (Each),Each,3991
CURRENT WEEK,2018-11-20 -2022-12-11,24812656.45,Consumer,Infused Beverage,Each,1579219
CURRENT WEEK,2022-12-16,971902.35,Consumer,Vape Product,Each,22180
CURRENT WEEK,2022-12-17,1069474.67,Consumer,Vape Product,Each,23724
CURRENT WEEK,2022-12-16,8127.54,Consumer,Infused (non-edible),Each,169
CURRENT WEEK,2022-12-12,44352.3,Consumer,Shake/Trim (by strain),Grams,1129
CURRENT WEEK,2022-12-17,1908221.8,Consumer,Buds,Grams,42451
CURRENT WEEK,2022-12-13,47698.96,Consumer,Shake/Trim (by strain),Grams,1174
CURRENT WEEK,2022-12-17,17108.09,Consumer,Infused (non-edible),Each,344
CURRENT WEEK,2018-11-20 -2022-12-11,40315.83,Consumer,Buds,Milligrams,959
CURRENT WEEK,2022-12-16,837.18,Consumer,Concentrate (Bulk),Grams,22
CURRENT WEEK,2022-12-14,223.38,Consumer,Concentrate,Milligrams,4
